date,state_name,state_code,region,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy
2020-07-21,All India,99,Unknown,171.04,146.7,33.57,351.31
2020-07-22,All India,99,Unknown,100.25,147.52,34.38,282.15
2020-07-23,All India,99,Unknown,127.18,131.15,31.74,290.07
2020-07-24,All India,99,Unknown,112.75,141.18,31.75,285.68
2020-07-25,All India,99,Unknown,111.39,131.31,30.41,273.11
2020-07-26,All India,99,Unknown,147.66,151.25,30.78,329.69
2020-07-27,All India,99,Unknown,208.92,169.68,36.22,414.82
2020-07-28,All India,99,Unknown,231.68,143.67,30.95,406.3
2020-07-29,All India,99,Unknown,220.63,132.95,30.78,384.36
2020-07-30,All India,99,Unknown,154.04,146.72,33.35,334.11
2020-07-31,All India,99,Unknown,164.64,140.08,32.81,337.53
2020-08-01,All India,99,Unknown,174.78,146.35,34.25,355.38
2020-08-02,All India,99,Unknown,219.81,154.51,32.09,406.41
2020-08-03,All India,99,Unknown,327.79,134.87,32.39,495.05
2020-08-04,All India,99,Unknown,341.5,127.03,32.76,501.29
2020-08-05,All India,99,Unknown,290.75,113.86,31.65,436.26
2020-08-06,All India,99,Unknown,324.08,127.76,37.04,488.88
2020-08-07,All India,99,Unknown,354.42,122.97,35.49,512.88
2020-08-08,All India,99,Unknown,364.97,127.12,35.62,527.71
2020-08-09,All India,99,Unknown,298.03,111.4,33.87,443.3
2020-08-10,All India,99,Unknown,286.52,105.74,34.79,427.05
2020-08-11,All India,99,Unknown,342.78,130.13,36.37,509.28
2020-08-12,All India,99,Unknown,444.46,121.59,36.41,602.46
2020-08-13,All India,99,Unknown,422.47,107.19,35.09,564.75
2020-08-14,All India,99,Unknown,344.92,96.34,44.47,485.73
2020-08-15,All India,99,Unknown,329.73,94.56,36.83,461.12
2020-08-16,All India,99,Unknown,288.03,82.91,35.92,406.86
2020-08-17,All India,99,Unknown,301.55,111.42,36.72,449.69
2020-08-18,All India,99,Unknown,309.22,127.68,35.26,472.16
2020-08-19,All India,99,Unknown,310.37,123.93,35.75,470.05
2020-08-20,All India,99,Unknown,269.02,98.57,34.51,402.1
2020-08-21,All India,99,Unknown,209.98,121.65,34.38,366.01
2020-08-22,All India,99,Unknown,212.51,135.65,36.48,384.64
2020-08-23,All India,99,Unknown,282.6,137.07,36.51,456.18
2020-08-24,All India,99,Unknown,263.77,134.35,38.52,436.64
2020-08-25,All India,99,Unknown,253.86,145.08,38.88,437.82
2020-08-26,All India,99,Unknown,222.35,135.66,36.56,394.57
2020-08-27,All India,99,Unknown,211.66,131.25,34.27,377.18
2020-08-28,All India,99,Unknown,197.52,147.51,33.58,378.61
2020-08-29,All India,99,Unknown,226.17,126.12,37.26,389.55
2020-08-30,All India,99,Unknown,252.68,142.1,37.85,432.63
2020-08-31,All India,99,Unknown,204.98,138.97,36.47,380.42
2020-09-01,All India,99,Unknown,119.96,142.87,36.9,299.73
2020-09-02,All India,99,Unknown,58.39,107.36,43.01,208.76
2020-09-03,All India,99,Unknown,38.75,134.67,36.24,209.66
2020-09-04,All India,99,Unknown,38.16,146.55,32.18,216.89
2020-09-05,All India,99,Unknown,43.44,150.1,34.06,227.6
2020-09-06,All India,99,Unknown,105.27,159.77,27.92,292.96
2020-09-07,All India,99,Unknown,149.46,157.87,34.19,341.52
2020-09-08,All India,99,Unknown,123.24,149.11,34.53,306.88
2020-09-09,All India,99,Unknown,94.45,152.65,35.01,282.11
2020-09-10,All India,99,Unknown,117.61,139.32,33.39,290.32
2020-09-11,All India,99,Unknown,143.84,135.03,33.52,312.39
2020-09-12,All India,99,Unknown,159.04,130.54,33.81,323.39
2020-09-13,All India,99,Unknown,157.16,109.55,34.24,300.95
2020-09-14,All India,99,Unknown,188.04,103.77,33.37,325.18
2020-09-15,All India,99,Unknown,189.68,131.56,31.82,353.06
2020-09-16,All India,99,Unknown,188.04,130.33,22.36,340.73
2020-09-17,All India,99,Unknown,198.32,136.78,31.85,366.95
2020-09-18,All India,99,Unknown,240.31,133.08,32.15,405.54
2020-09-19,All India,99,Unknown,179.97,116.23,31.16,327.36
2020-09-20,All India,99,Unknown,173.46,116.51,35.68,325.65
2020-09-21,All India,99,Unknown,225.27,124.79,29.37,379.43
2020-09-22,All India,99,Unknown,243.78,136.89,28.67,409.34
2020-09-23,All India,99,Unknown,260.45,134.85,31.24,426.54
2020-09-24,All India,99,Unknown,167.26,146.92,30.89,345.07
2020-09-25,All India,99,Unknown,191.04,139.02,30.03,360.09
2020-09-26,All India,99,Unknown,198.94,106.48,28.05,333.47
2020-09-27,All India,99,Unknown,129.41,150.83,27.22,307.46
2020-09-28,All India,99,Unknown,106.31,168.86,26.17,301.34
2020-09-29,All India,99,Unknown,122.66,139.19,36.86,298.71
2020-09-30,All India,99,Unknown,140.95,134.35,24.95,300.25
2020-10-01,All India,99,Unknown,165.81,147.15,24.69,337.65
2020-10-02,All India,99,Unknown,160.5,158.59,28.15,347.24
2020-10-03,All India,99,Unknown,203.57,148.46,25.98,378.01
2020-10-04,All India,99,Unknown,217.52,138.73,26.25,382.5
2020-10-05,All India,99,Unknown,157.67,159.27,25.11,342.05
2020-10-06,All India,99,Unknown,104.07,174.31,23.59,301.97
2020-10-07,All India,99,Unknown,109.18,151.33,24.04,284.55
2020-10-08,All India,99,Unknown,60.0,152.58,24.06,236.64
2020-10-09,All India,99,Unknown,74.05,146.28,25.02,245.35
2020-10-10,All India,99,Unknown,97.42,141.14,26.86,265.42
2020-10-11,All India,99,Unknown,130.56,107.48,26.79,264.83
2020-10-12,All India,99,Unknown,119.6,125.39,30.5,275.49
2020-10-13,All India,99,Unknown,153.23,120.8,27.08,301.11
2020-10-14,All India,99,Unknown,280.7,117.64,27.59,425.93
2020-10-15,All India,99,Unknown,221.62,161.84,35.47,418.93
2020-10-16,All India,99,Unknown,221.53,141.97,31.62,395.12
2020-10-17,All India,99,Unknown,129.05,144.76,26.66,300.47
2020-10-18,All India,99,Unknown,73.47,129.53,26.68,229.68
2020-10-19,All India,99,Unknown,75.98,136.22,26.87,239.07
2020-10-20,All India,99,Unknown,88.49,128.93,24.56,241.98
2020-10-21,All India,99,Unknown,106.64,123.73,24.6,254.97
2020-10-22,All India,99,Unknown,116.89,137.64,25.52,280.05
2020-10-23,All India,99,Unknown,105.1,150.11,24.37,279.58
2020-10-24,All India,99,Unknown,85.42,159.84,24.83,270.09
2020-10-25,All India,99,Unknown,51.79,155.51,25.41,232.71
2020-10-26,All India,99,Unknown,48.64,149.31,32.4,230.35
2020-10-27,All India,99,Unknown,48.22,151.17,31.41,230.8
2020-10-28,All India,99,Unknown,44.8,158.43,26.21,229.44
2020-10-29,All India,99,Unknown,30.66,146.58,26.59,203.83
2020-10-30,All India,99,Unknown,42.1,154.49,28.99,225.58
2020-10-31,All India,99,Unknown,42.38,150.88,29.69,222.95
2020-11-01,All India,99,Unknown,49.92,154.61,28.93,233.46
2020-11-02,All India,99,Unknown,56.9,157.64,31.14,245.68
2020-11-03,All India,99,Unknown,82.88,156.33,31.53,270.74
2020-11-04,All India,99,Unknown,57.57,151.6,30.62,239.79
2020-11-05,All India,99,Unknown,52.22,156.67,32.98,241.87
2020-11-06,All India,99,Unknown,59.67,144.69,31.01,235.37
2020-11-07,All India,99,Unknown,79.79,145.62,29.78,255.19
2020-11-08,All India,99,Unknown,76.57,145.35,28.72,250.64
2020-11-09,All India,99,Unknown,63.37,159.7,28.93,252.0
2020-11-10,All India,99,Unknown,85.69,159.97,29.53,275.19
2020-11-11,All India,99,Unknown,101.35,157.01,30.2,288.56
2020-11-12,All India,99,Unknown,113.62,117.7,27.76,259.08
2020-11-13,All India,99,Unknown,110.58,117.88,24.39,252.85
2020-11-14,All India,99,Unknown,113.33,141.2,28.16,282.69
2020-11-15,All India,99,Unknown,90.94,118.76,27.58,237.28
2020-11-16,All India,99,Unknown,101.13,138.95,49.51,289.59
2020-11-17,All India,99,Unknown,159.62,126.21,39.54,325.37
2020-11-18,All India,99,Unknown,105.76,147.92,42.05,295.73
2020-11-19,All India,99,Unknown,119.87,154.77,40.51,315.15
2020-11-20,All India,99,Unknown,95.68,157.3,32.98,285.96
2020-11-21,All India,99,Unknown,96.35,170.86,30.33,297.54
2020-11-22,All India,99,Unknown,65.62,155.98,30.13,251.73
2020-11-23,All India,99,Unknown,52.48,138.37,30.08,220.93
2020-11-24,All India,99,Unknown,57.08,132.99,41.32,231.39
2020-11-25,All India,99,Unknown,137.98,118.47,30.54,286.99
2020-11-26,All India,99,Unknown,234.52,90.38,27.73,352.63
2020-11-27,All India,99,Unknown,237.82,111.58,30.28,379.68
2020-11-28,All India,99,Unknown,177.67,120.09,28.73,326.49
2020-11-29,All India,99,Unknown,121.17,118.04,30.26,269.47
2020-11-30,All India,99,Unknown,81.33,145.65,29.84,256.82
2020-12-01,All India,99,Unknown,89.33,163.56,29.65,282.54
2020-12-02,All India,99,Unknown,44.95,151.26,41.47,237.68
2020-12-03,All India,99,Unknown,56.88,123.13,30.07,210.08
2020-12-04,All India,99,Unknown,65.66,129.52,29.59,224.77
2020-12-05,All India,99,Unknown,60.61,136.07,33.25,229.93
2020-12-06,All India,99,Unknown,96.09,137.34,29.93,263.36
2020-12-07,All India,99,Unknown,87.46,120.8,30.27,238.53
2020-12-08,All India,99,Unknown,86.31,131.95,27.24,245.5
2020-12-09,All India,99,Unknown,76.36,135.58,41.75,253.69
2020-12-10,All India,99,Unknown,90.45,163.94,39.51,293.9
2020-12-11,All India,99,Unknown,94.4,138.29,30.28,262.97
2020-12-12,All India,99,Unknown,79.56,149.37,30.26,259.19
2020-12-13,All India,99,Unknown,92.02,143.11,30.18,265.31
2020-12-14,All India,99,Unknown,115.98,143.2,30.39,289.57
2020-12-15,All India,99,Unknown,134.57,143.36,27.54,305.47
2020-12-16,All India,99,Unknown,184.25,121.69,22.88,328.82
2020-12-17,All India,99,Unknown,156.96,128.14,30.8,315.9
2020-12-18,All India,99,Unknown,84.36,182.94,41.38,308.68
2020-12-19,All India,99,Unknown,165.09,145.43,29.55,340.07
2020-12-20,All India,99,Unknown,143.76,142.82,29.26,315.84
2020-12-21,All India,99,Unknown,116.91,158.14,29.68,304.73
2020-12-22,All India,99,Unknown,82.5,151.47,29.05,263.02
2020-12-23,All India,99,Unknown,92.83,151.09,29.01,272.93
2020-12-24,All India,99,Unknown,112.37,157.46,28.63,298.46
2020-12-25,All India,99,Unknown,135.16,152.05,28.14,315.35
2020-12-26,All India,99,Unknown,93.17,159.06,28.53,280.76
2020-12-27,All India,99,Unknown,121.1,158.61,27.74,307.45
